HerdID,Date,Year,Latitude,Longitude,Group Size
MXHERD-23-30,01-Aug-23,2023,79.922481,-83.741191,3
MXHERD-23-31,01-Aug-23,2023,79.9522487,-85.089412,1
MXHERD-23-32,02-Aug-23,2023,80.276001,-87.780072,8
MXHERD-23-33,02-Aug-23,2023,80.399776,-87.800326,6
MXHERD-23-34,02-Aug-23,2023,80.453762,-89.473675,1
MXHERD-23-35,02-Aug-23,2023,80.532268,-90.055042,7
MXHERD-23-36,02-Aug-23,2023,80.512275,-90.256068,2
MXHERD-23-37,02-Aug-23,2023,80.509536,-90.364556,9
MXHERD-23-38,02-Aug-23,2023,80.461162,-90.508553,6
MXHERD-23-39,02-Aug-23,2023,80.481787,-90.868157,7
MXHERD-23-40,02-Aug-23,2023,80.553721,-90.967806,1
MXHERD-23-41,02-Aug-23,2023,80.617755,-90.898702,2
MXHERD-23-42,02-Aug-23,2023,80.640871,-90.961821,22
MXHERD-23-43,02-Aug-23,2023,80.733051,-91.270099,1
MXHERD-23-44,02-Aug-23,2023,80.694894,-91.827869,13
MXHERD-23-45,02-Aug-23,2023,80.640706,-91.504018,1
MXHERD-23-46,02-Aug-23,2023,80.623559,-91.529298,1
MXHERD-23-47,02-Aug-23,2023,80.399673,-90.955025,2
MXHERD-23-48,02-Aug-23,2023,80.379257,-90.014535,4
MXHERD-23-49,02-Aug-23,2023,80.109392,-89.518427,10
MXHERD-23-50,02-Aug-23,2023,80.063092,-88.873352,9
MXHERD-23-51,02-Aug-23,2023,79.958294,-88.510954,21
MXHERD-23-52,02-Aug-23,2023,79.945265,-88.532575,22
MXHERD-23-53,02-Aug-23,2023,79.985546,-87.833583,17
MXHERD-23-54,02-Aug-23,2023,80.00458,-87.212968,4
MXHERD-23-55,02-Aug-23,2023,80.093374,-86.075896,1
MXHERD-23-56,03-Aug-23,2023,79.916372,-87.856007,14
MXHERD-23-57,03-Aug-23,2023,79.728098,-87.711291,1
MXHERD-23-58,03-Aug-23,2023,79.657356,-87.682073,3
MXHERD-23-59,03-Aug-23,2023,79.658312,-87.657044,1
MXHERD-23-60,03-Aug-23,2023,79.658061,-87.580925,21
MXHERD-23-61,03-Aug-23,2023,79.632078,-87.57048,21
MXHERD-23-62,03-Aug-23,2023,79.582592,-87.565795,4
MXHERD-23-63,03-Aug-23,2023,79.342715,-85.237887,16
MXHERD-23-64,03-Aug-23,2023,79.395965,-85.353016,6
MXHERD-23-65,03-Aug-23,2023,79.500088,-86.332006,11
MXHERD-23-66,03-Aug-23,2023,79.918712,-85.906743,24
MXHERD-23-67,04-Aug-23,2023,80.222969,-82.745511,2
MXHERD-23-68,04-Aug-23,2023,80.180926,-81.703923,1
MXHERD-23-69,04-Aug-23,2023,80.171744,-81.715287,1
